# LiteIME built-in starter lexicon v0.1.4-dev
# This is a small redistributable starter lexicon for development and first-run use.
# Professional and larger general-purpose dictionaries can be imported separately.
word	pinyin	weight
我	wo	50000
你	ni	49000
他	ta	47000
她	ta	46500
它	ta	45000
我们	wo'men	52000
你们	ni'men	50000
他们	ta'men	48000
她们	ta'men	47000
这个	zhe'ge	51000
那个	na'ge	50000
这些	zhe'xie	49000
那些	na'xie	48000
这里	zhe'li	47000
那里	na'li	46000
什么	shen'me	53000
为什么	wei'shen'me	52000
怎么	zen'me	51000
怎么样	zen'me'yang	50000
谁	shei	47000
哪	na	45000
哪里	na'li	46000
什么时候	shen'me'shi'hou	48000
现在	xian'zai	52000
今天	jin'tian	51000
明天	ming'tian	50000
昨天	zuo'tian	49000
时间	shi'jian	50000
时候	shi'hou	49000
可以	ke'yi	53000
不能	bu'neng	51000
不是	bu'shi	54000
就是	jiu'shi	53000
还是	hai'shi	51000
已经	yi'jing	50000
没有	mei'you	54000
还有	hai'you	52000
需要	xu'yao	52000
应该	ying'gai	51000
可能	ke'neng	50000
因为	yin'wei	50000
所以	suo'yi	50000
但是	dan'shi	49000
如果	ru'guo	50000
然后	ran'hou	49000
或者	huo'zhe	48000
而且	er'qie	48000
以及	yi'ji	47000
一个	yi'ge	54000
一些	yi'xie	51000
一下	yi'xia	52000
一点	yi'dian	50000
一起	yi'qi	49000
一直	yi'zhi	49000
一定	yi'ding	48000
自己	zi'ji	52000
大家	da'jia	51000
别人	bie'ren	48000
东西	dong'xi	49000
事情	shi'qing	50000
问题	wen'ti	52000
方法	fang'fa	51000
功能	gong'neng	50000
内容	nei'rong	49000
结果	jie'guo	50000
原因	yuan'yin	49000
情况	qing'kuang	48000
方式	fang'shi	48000
地方	di'fang	47000
方面	fang'mian	47000
工作	gong'zuo	52000
生活	sheng'huo	51000
想	xiang	51000
我想	wo'xiang	53000
学习	xue'xi	52000
使用	shi'yong	52000
开发	kai'fa	51000
测试	ce'shi	50000
安装	an'zhuang	50000
卸载	xie'zai	47000
打开	da'kai	51000
关闭	guan'bi	50000
开始	kai'shi	51000
结束	jie'shu	49000
继续	ji'xu	50000
完成	wan'cheng	51000
修改	xiu'gai	50000
删除	shan'chu	49000
增加	zeng'jia	49000
减少	jian'shao	47000
选择	xuan'ze	50000
输入	shu'ru	52000
输出	shu'chu	50000
