# LiteIME built-in symbol table. UTF-8, tab-separated.
symbol	category	name	aliases
，	中文标点	中文逗号	逗号|douhao|comma
。	中文标点	中文句号	句号|juhao|period
、	中文标点	顿号	顿号|dunhao
；	中文标点	中文分号	分号|fenhao|semicolon
：	中文标点	中文冒号	冒号|maohao|colon
？	中文标点	中文问号	问号|wenhao|question
！	中文标点	中文感叹号	感叹号|gantan|exclamation
“	中文标点	左双引号	双引号|引号|zuoshuangyinhao
”	中文标点	右双引号	双引号|引号|youshuangyinhao
‘	中文标点	左单引号	单引号|zuodanyinhao
’	中文标点	右单引号	单引号|youdanyinhao
（	中文标点	左圆括号	括号|zuokuohao
）	中文标点	右圆括号	括号|youkuohao
【	中文标点	左方头括号	方括号|zuofangkuohao
】	中文标点	右方头括号	方括号|youfangkuohao
《	中文标点	左书名号	书名号|zuoshuminghao
》	中文标点	右书名号	书名号|youshuminghao
〈	中文标点	左单书名号	单书名号|zuodanshuminghao
〉	中文标点	右单书名号	单书名号|youdanshuminghao
——	中文标点	破折号	破折号|pozhehao|dash
……	中文标点	省略号	省略号|shengluehao|ellipsis
·	中文标点	间隔号	间隔号|jiangehao|middle dot
￥	货币符号	人民币符号	人民币|renminbi|rmb|yuan
¥	货币符号	日元人民币符号	日元|人民币|yen|yuan
$	货币符号	美元符号	美元|meiyuan|dollar|usd
€	货币符号	欧元符号	欧元|ouyuan|euro|eur
£	货币符号	英镑符号	英镑|yingbang|pound|gbp
¢	货币符号	美分符号	美分|cent
₽	货币符号	卢布符号	卢布|ruble
₹	货币符号	印度卢比符号	印度卢比|rupee
₩	货币符号	韩元符号	韩元|won
±	数学符号	正负号	正负|zhengfu|plusminus
×	数学符号	乘号	乘号|chenghao|multiply
÷	数学符号	除号	除号|chuhao|divide
≠	数学符号	不等于	不等于|budengyu|notequal
≈	数学符号	约等于	约等于|yuedengyu|approx
≡	数学符号	恒等于	恒等|hengdeng|identical
≤	数学符号	小于等于	小于等于|xiaoyudengyu|lessequal
≥	数学符号	大于等于	大于等于|dayudengyu|greaterequal
∞	数学符号	无穷	无穷|wuqiong|infinity
√	数学符号	根号	根号|genhao|sqrt
∑	数学符号	求和	求和|qiuhe|sum
∏	数学符号	连乘	连乘|liancheng|product
∫	数学符号	积分	积分|jifen|integral
∮	数学符号	环路积分	环路积分|huanlujifen
∂	数学符号	偏导	偏导|piandao|partial
∇	数学符号	纳布拉	梯度|tidu|nabla
∈	数学符号	属于	属于|shuyu|element
∉	数学符号	不属于	不属于|bushuyu
⊂	数学符号	真子集	子集|zijizhen
⊆	数学符号	子集	子集|ziji
∪	数学符号	并集	并集|bingji|union
∩	数学符号	交集	交集|jiaoji|intersection
∧	逻辑符号	逻辑与	逻辑与|luojiyu|and
∨	逻辑符号	逻辑或	逻辑或|luojihuo|or
¬	逻辑符号	逻辑非	逻辑非|luojifei|not
⇒	逻辑符号	推出	推出|tuichu|implies
⇔	逻辑符号	等价	等价|dengjia|iff
∀	逻辑符号	任意	任意|renyi|forall
∃	逻辑符号	存在	存在|cunzai|exists
←	箭头符号	左箭头	左箭头|zuojiantou|left
↑	箭头符号	上箭头	上箭头|shangjiantou|up
→	箭头符号	右箭头	右箭头|youjiantou|right
↓	箭头符号	下箭头	下箭头|xiajiantou|down
↔	箭头符号	左右箭头	双向箭头|shuangxiang|leftright
